મુખપૃષ્ઠ	Main Page
એશિયા	Asia
યુરોપ	Europe
ઉત્તર અમેરિકા	North America
દક્ષિણ અમેરિકા	South America
અફઘાનિસ્તાન	Afghanistan
ઉષ્મા	Heat
Geo-stub	Geo-stub
ભૂગોળ સ્ટબ	Geography stubs
Sci-stub	Sci-stub
વિજ્ઞાન સ્ટબ	Science stubs
વિજ્ઞાન	Science
ધૂમકેતુ	Comet
ક્ષ-કિરણો	X-ray
ગંગા નદી	Ganges
ટેમ્પ્લેટ સૂચનાઓ	Template messages
વિકિપીડિયા મદદ	Wikipedia help
વિદ્યુત-ચુંબકીય તરંગો	Electromagnetic wave
તરંગલંબાઈ	Wavelength
દ્રવ્યમાન	Mass
બળ	Force
મહારાષ્ટ્ર	Maharashtra
મધ્ય પ્રદેશ	Madhya Pradesh
છત્તીસગઢ	Chhattisgarh
પ્રકાશનાધિકાર	Copyrights
Text of the GNU Free Documentation License	Text of the GNU Free Documentation License, version 1.2
જી એફ ડી એલ 	GNU Free Documentation License
પબ્લિક ડોમેન	Public domain
ઉચિત વપરાશ	Fair use
ઉચિત વપરાશ	GFDL
Shortcut	Shortcut
રાજસ્થાન	Rajasthan
ચંદ્રકાંત બક્ષી	Chandrakant Bakshi
ગણિત	Mathematics
હિન્દુ-અરેબીક અંકો	Arabic numerals
અંક પદ્ધતિ	Numeral systems
દિલ્હી	Delhi
Andre Engels	Andre Engels
Robbot	Robbot
CyeZBot~guwiki	CyeZBot
YurikBot	YurikBot
Zwobot	Zwobot
ગાંધી આશ્રમ	Sabarmati Ashram
અલંગ	Alang
લોકશાહી	Democracy
Fair use images	Fair use images
ઇમરાન ખાન	Imran Khan
Taichi	Taichi
જ્યોતીન્દ્ર દવે	Jyotindra Dave
ભાષા	Language
ભારતની ભાષાઓની સૂચી	Languages of India
જામનગર	Jamnagar
ચલાલા 	Chalala
ભૂગોળ	Geography
વિકિમીડિયા કૉમન્સ	Wikimedia Commons
ક્ષેત્રફળ	Area
૨૦૦૧	2001
ચીન	China
અરુણાચલ પ્રદેશ	Arunachal Pradesh
ઉત્તર પ્રદેશ	Uttar Pradesh
ઉત્તરાખંડ	Uttarakhand
આંધ્ર પ્રદેશ	Andhra Pradesh
કર્ણાટક	Karnataka
કેરળ	Kerala
ગોઆ	Goa
જમ્મુ અને કાશ્મીર	Jammu and Kashmir
ઝારખંડ	Jharkhand
તમિલનાડુ	Tamil Nadu
ત્રિપુરા	Tripura
નાગાલેંડ	Nagaland
મણિપુર	Manipur
મિઝોરમ	Mizoram
મેઘાલય	Meghalaya
સિક્કિમ	Sikkim
પશ્ચિમ બંગાળ	West Bengal
પંજાબ, ભારત	Punjab, India
હરિયાણા	Haryana
હિમાચલ પ્રદેશ	Himachal Pradesh
અંદામાન અને નિકોબાર દ્વીપસમૂહ	Andaman and Nicobar Islands
ચંડીગઢ	Chandigarh
દાદરા અને નગરહવેલી	Dadra and Nagar Haveli
દમણ અને દીવ	Daman and Diu
મહેસાણા જિલ્લો	Mehsana district
પુડુચેરી	Puducherry
લક્ષદ્વીપ	Lakshadweep
કેન્દ્રશાસિત પ્રદેશ	Union territory
જયંતિ દલાલ	Jayanti Dalal
Denniss	Denniss
સાહિત્ય-સ્ટબ	Lit-stub
સાહિત્ય સ્ટબ	Literature stubs
અંગ્રેજી ભાષા	English language
ભાષાઓ	Languages
અમદાવાદ જિલ્લો	Ahmedabad district
યુનાઇટેડ સ્ટેટ્સ ઓફ અમેરિકા	United States
સાબરકાંઠા જિલ્લો	Sabarkantha district
ભરૂચ જિલ્લો	Bharuch district
લીંબુ	Lemon
ગાંધીનગર	Gandhinagar
વૅલેન્શિયન	Valencian
વૅલેન્શિયા નો પ્રદેશ	Valencian Community
દેશ	Countries
સંસ્કૃતિ	Culture
વ્યક્તિત્વ	People
ઑસ્ટ્રિયા	Austria
Zigger	Zigger
Book covers	Fair use images of book covers
સ્વાગત	Introduction
સત્ય ઇસુ દેવળ	True Jesus Church
Dcljr	Dcljr
ધોધ	Waterfall
Koavf	koavf
નેપાળ	Nepal
રોટલી	Roti
Babel	Babel
ઇસ્લામ	Islam
ભારતનો રાષ્ટ્રધ્વજ	Flag of India
મુહમ્મદ	Muhammad
Jon Harald Søby	Jon Harald Søby
ફ્રી સૉફ્ટવૅર	Free software
શાકાહારી	Vegetarianism
Sirius Zwarts Bot	Sirius Zwarts Bot
ભાત 	Bhat, Daskroi
LUCPOL	LUCPOL
Jose77	Jose77
ચેન્નઈ	Chennai
રમેશ પારેખ	Ramesh Parekh
પાલનપુર	Palanpur
Gaudio	Gaudio
રઘુવીર ચૌધરી	Raghuveer Chaudhari
Vargenau	Vargenau
ઉંઝા	Unjha
Xandi	Xandi
વલસાડ જિલ્લો	Valsad district
દુનિયાની પ્રાચીન સાત અજાયબીઓ	Seven Wonders of the Ancient World
પાલીતાણા	Palitana
ઉનાવા	Unava
રાજકોટ	Rajkot
Escarbot	Escarbot
નેપાલ ભાષા	Newar language
જામનગર જિલ્લો	Jamnagar district
તાપી નદી	Tapti River
નર્મદા જિલ્લો	Narmada district
યાક	Wild yak
JAnDbot	JAnDbot
Blockinblox	Blockinblox
સનેડો	Sanedo
વંદે માતરમ્	Vande Mataram
Mitul0520	mitul0520
TXiKiBoT	TXiKiBoT
Thijs!bot	Thijs!bot
તાંબુ	Copper
નેપાલ સ્કાઉટ	Nepal Scouts
અમરેલી જિલ્લો	Amreli district
Effeietsanders	Effeietsanders
તત્ત્વ	Chemical element
બનાસકાંઠા જિલ્લો	Banaskantha district
Delete	Db
રામાયણ	Ramayana
Scooter	ScooterDe
હિંદુ	Hindu
સિંધુ	Indus River
Kelovy	Kelovy
માન સરોવર	Lake Manasarovar
ચાણક્ય	Chanakya
શિવાજી	Shivaji
યુગ	Yuga
સત્યયુગ	Satya Yuga
ત્રેતાયુગ	Treta Yuga
દ્વાપરયુગ	Dvapara Yuga
કળિયુગ	Kali Yuga
જુનાગઢ જિલ્લો	Junagadh district
ગિરનાર	Girnar
ભારતના ભાગલા	Partition of India
Soulbot	Soulbot
મુન્દ્રા	Mundra
સ્વાધ્યાય	Svādhyāya
VolkovBot	VolkovBot
શ્રીમદ્ ભગવદ્ ગીતા	Bhagavad Gita
મૌર્ય સામ્રાજ્ય	Maurya Empire
Main Page banner	Main Page banner
Click	Click
Tl	Tl
એઇડ્સ	HIV/AIDS
કાઠમંડુ	Kathmandu
દૂતાવાસ	Embassy
વેગમાન સંરક્ષણનો નિયમ	Momentum
પાટણ જિલ્લો	Patan district
આણંદ જિલ્લો	Anand district
ખેડા જિલ્લો	Kheda district
ડાંગ જિલ્લો	Dang District, India
સુરેન્દ્રનગર જિલ્લો	Surendranagar district
સંસ્કૃત ભાષા	Sanskrit
શ્રી રામ ચરિત માનસ	Ramcharitmanas
તુલસીદાસ	Tulsidas
Lang	Lang
Polytonic	Polytonic
Common.css	Common.css
Mithridates	Mithridates
ગુજરાતની ભૂગોળ	Geography of Gujarat
ગાંધીનગર જિલ્લો	Gandhinagar district
ReyBrujo	ReyBrujo
ReyBrujo/Dumps	ReyBrujo/Dumps
સાબરમતી નદી	Sabarmati River
પ્રસ્તુત લેખ	Today's featured article
Infobox Indian Jurisdiction	Infobox Indian jurisdiction
!	!
Coor URL	Coor URL
Coor URL/doc	Coor URL
વાદળ	Cloud
સિકંદર	Alexander the Great
લક્ષ્મી વિલાસ મહેલ	Laxmi Vilas Palace, Vadodara
ફારસી ભાષા	Persian language
Border	Border
Lower	Lower
Spaces	Spaces
પોરબંદર	Porbandar
Col-begin	Col-begin
Col-end	Col-end
રાણી લક્ષ્મીબાઈ	Rani of Jhansi
ઝાંસી	Jhansi
અરબી સમુદ્ર	Arabian Sea
સ્વાધ્યાય પરિવાર	Swadhyay Parivar
રામ	Rama
ગૌતમ બુદ્ધ	Gautama Buddha
આદિ શંકરાચાર્ય	Adi Shankara
કાલિદાસ	Kālidāsa
આર્યભટ્ટ	Aryabhata
અશોક	Ashoka
અકબર	Akbar
સ્વામી વિવેકાનંદ	Swami Vivekananda
સુભાષચંદ્ર બોઝ	Subhas Chandra Bose
સીતા	Sita
Idw	Fdw
Bookcover	Non-free book cover
Logos	Logos
Non-free image copyright tags	Wikipedia non-free file copyright templates
અક્ષાંશ-રેખાંશ	Geographic coordinate system
સ્ટબ	Network topology
રાજધાની	Capital city
રાજા રવિ વર્મા	Raja Ravi Varma
કરમસદ	Karamsad
Public domain images	Public domain files
Images	Wikipedia images
નત્રલવાયુ	Nitrogen
લોખંડ	Iron
ચાંદી	Silver
સોનું	Gold
સિલિકોન	Silicon
ગુજરાતનાં વન્યજીવો	Fauna of Gujarat
Reverting	Reverting
સૌરાષ્ટ્ર	Saurashtra 
વિકિમીડિયા ફાઉન્ડેશન	Wikimedia Foundation
Reflist	Reflist
સ્ટબ	Stubs
Stub Category	Stub category
બાલી	Bali
BernardM	BernardM
પટના	Patna
કૃષ્ણ વિવર	Black hole
વસતી વધારો	Population growth
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
ભ્રષ્ટાચાર	Corruption
દક્ષિણ એશીયાનો ઇતિહાસ	History of South Asia
Tnavbar	Navbar
સિદ્ધરાજ જયસિંહ	Jayasimha Siddharaja
ભાગીરથી	Bhagirathi River
નેપાળી ભાષા	Nepali language
Purodha	Purodha
ગઢડા	Gadhada
મૂડીવાદ	Capitalism
ભારતીય વિશ્વવિદ્યાલય	List of universities in India
સત્યજીત રે	Satyajit Ray
આયુર્વેદ	Ayurveda
રાવણ	Ravana
યજ્ઞ	Yajna
EDUCA33E	EDUCA33E
મહારાજા સયાજીરાવ વિશ્વવિદ્યાલય	Maharaja Sayajirao University of Baroda
મહાદેવી વર્મા	Mahadevi Varma
હિમાલય	Himalayas
અરવલ્લી	Aravalli Range
ભારતના પર્વતો	Mountains of India
નીલગિરિ	Nilgiri Mountains
ગુજરાતની નદીઓ	Rivers of Gujarat
Byrialbot	Byrialbot
Xcentaur	Xcentaur
ભરૂચ	Bharuch
શૂદ્ર	Shudra
Siebrand	Siebrand
SieBot	SieBot
PipepBot	PipepBot
BotMultichill	BotMultichill
Multichill	Multichill
Jorunn	Jorunn
ઝવેરચંદ મેઘાણી	Jhaverchand Meghani
કવિ	Poet
સત્ય	Truth
નર્મદ	Narmad
યાજ્ઞવલ્કય	Yajnavalkya
નળ સરોવર	Nal Sarovar Bird Sanctuary
રવિશંકર રાવળ	Ravishankar Raval
મોઢેરા	Modhera
બોટાદ	Botad
વલ્લભીપુર	Vallabhi
અય્યાવળિ	Ayyavazhi
યુરોપ	Europe
ભારતની નદીઓ	Rivers of India
મહાસાગર	Oceans
સોનિયા ગાંધી	Sonia Gandhi
હનુમાન	Hanuman
એન્ડ્ર્યૂ સાયમન્ડ્સ	Andrew Symonds
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
અંક પદ્ધતિ	Numeral systems
DragonBot	DragonBot
Emergency-bot-shutoff	Emergency-bot-shutoff
વલ્લભભાઈ પટેલ	Vallabhbhai Patel
માતર	Matar, Kheda
નિરંજન ભગત	Niranjan Bhagat
હરીન્દ્ર દવે	Harindra Dave
અનિલ જોશી	Anil R. Joshi
વર્ષા અડાલજા	Varsha Adalja
સુરેશ જોષી	Suresh Joshi
ભોળાભાઈ પટેલ	Bholabhai Patel
કાકાસાહેબ કાલેલકર	Kaka Kalelkar
ઉમાશંકર જોષી	Umashankar Joshi
બાણભટ્ટ	Bāṇabhaṭṭa
નગીનદાસ પારેખ	Nagindas Parekh
જયંત ખત્રી	Jayant Khatri
ગુલાબદાસ બ્રોકર	Gulabdas Broker
સુરેશ દલાલ	Suresh Dalal
પટ્ટાઈ	Harrier 
ગુલાબી પેણ	Pink-backed pelican
ઘોરાડ	Great Indian bustard
ગીધ	Vulture
રાજગીધ	King vulture
સફેદ પીઠ ગીધ	White-backed vulture
ટિલોર	Houbara bustard
કાગડો	Corvus
દૂધરાજ	Indian paradise flycatcher
શોબિગી	Common iora
કુંજ	Common crane
ગરુડ	Eagle
કીડીઘર લક્કડખોદ	Rufous woodpecker
સુગરી	Ploceidae
દરજીડો	Common tailorbird
પક્ષી	Birds
વન્ય	Wildlife
પીરમબેટ	Piram Island
AlleborgoBot	AlleborgoBot
તારા	Tara 
નવસારી જિલ્લો	Navsari district
અમેરિકન ગૅંગ્સ્ટર	American Gangster 
સરસ્વતી નદી	Saraswati River, Gujarat
ગાંધીધામ	Gandhidham
કડી	Kadi, India
વડનગર	Vadnagar
મહેસાણા	Mehsana
ગુજરાત વિદ્યાપીઠ	Gujarat Vidyapith
અડાલજ	Adalaj
Cite web	Cite web
ઝૂલતા મિનારા	Sidi Bashir Mosque
સુરત જિલ્લો	Surat district
ડાકોર	Dakor
ઉંચાઇ	Height
રમેશ મહેતા	Ramesh Mehta 
વાયુ	Gas
ચીનની વિખ્યાત દીવાલ	Great Wall of China
અયોધ્યા	Ayodhya
પશ્ચિમ	West
જળાશય	Reservoir
રાજ્ય	Federated state
ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	States and union territories of India
ઇન્દ્ર	Indra
દાળ	Dal
હિંમતનગર	Himatnagar
ચૈતન્ય મહાપ્રભુ	Chaitanya Mahaprabhu
અઝીમ પ્રેમજી	Azim Premji
Sir Nicholas de Mimsy-Porpington	Sir Nicholas de Mimsy-Porpington
સફારી	Safari 
પાવાગઢ	Pavagadh
ભદ્રંભદ્ર	Bhadrambhadra
User en	User en
User zh	User zh
જુનાગઢ	Junagadh
હેમચંદ્રાચાર્ય	Hemachandra
ઇસ્કોન	International Society for Krishna Consciousness
Alexsh	Alexsh
Anoopan	Anoopan
પ્યૂએર્ટો રિકન ઈન્ડીપેન્ડન્સ પાર્ટી	Puerto Rican Independence Party
ધોળાવીરા	Dholavira
બાઇબલ	Bible
New Testament	Books of the New Testament
મહુવા	Mahuva, Bhavnagar
સ્વાગત	Welcoming committee/Welcome to Wikipedia
સ્વાગત	Welcome
Purbo T	Purbo T
પોરબંદર જિલ્લો	Porbandar district
આહવા	Ahwa
વઘઇ	Waghai
જેક સ્પૅરો	Jack Sparrow
ચાંપાનેર	Champaner
વાંસદા	Vansda
દાહોદ જિલ્લો	Dahod district
Style/ril	Style/ril
અમરેલી	Amreli
બ્રિટીશ એશિયન	British Asian
નવસારી	Navsari
સાપુતારા	Saputara
મરાઠી લોકો	Marathi people
ડેબિયન	Debian
ગણદેવી	Gandevi
તાપી જિલ્લો	Tapi district
ઉકાઇ	Ukai
ગોધરા	Godhra
પાટણ	Patan, Gujarat
બીલીમોરા	Bilimora
ગંગાસતી	Gangasati
રાજકોટ જિલ્લો	Rajkot district
વડોદરા જિલ્લો	Vadodara district
સંસ્કૃત વ્યાકરણ	Sanskrit grammar
વિસનગર	Visnagar
નોબૅલ પારિતોષિક	Nobel Prize
સંગણક	Computer
Kanesue	Kanesue
ભારત ના વિશ્વવિદ્યાલય	Universities in India
ધીરુબેન પટેલ	Dhiruben Patel
તારક મહેતા	Taarak Mehta
ભગવતીકુમાર શર્મા	Bhagwatikumar Sharma
રમણભાઈ નીલકંઠ	Ramanbhai Neelkanth
બકુલ ત્રિપાઠી	Bakul Tripathi
નાનાભાઈ ભટ્ટ 	Nanabhai Bhatt 
કે. કા. શાસ્ત્રી	Keshavram Kashiram Shastri
મનસુખલાલ ઝવેરી	Mansukhlal Jhaveri
દલપતરામ	Dalpatram
કલાપી	Kalapi
સુંદરમ્	Tribhuvandas Luhar
ઇશ્વર પેટલીકર	Ishwar Petlikar
Carkuni	Carkuni
નથુરામ ગોડસે	Nathuram Godse
નવકાર મંત્ર	Namokar Mantra
User en-4	User en-4
User gu	User gu
User gu-0	User gu-0
User gu-1	User gu-1
User gu-2	User gu-2
User gu-3	User gu-3
User gu-4	User gu-4
ધાર્મિક સાહિત્ય	Religious literature
ગુજરાતી સાહિત્યકાર	Gujarati-language writers
રાપર	Rapar
ધાર્મિક સાહિત્યકાર	Religious writers
પ્રકાશક	Publishers
અંગ્રેજી સાહિત્યકાર	English writers
હોળી	Holi
ભારત	India
User hi-1	User hi-1
User hi-0	User hi-0
User hi-2	User hi-2
User hi-3	User hi-3
પંચમહાલ જિલ્લો	Panchmahal district
અમલસાડ	Amalsad
User UK	User UK
હિંદુ સભ્યો	Hindu Wikipedians
User gu	User gu
ઉનાઇ	Unai, Gujarat
વલસાડ	Valsad
તિથલ	Tithal
બકરી	Goat
સ્વામિનારાયણ	Swaminarayan
ઝઘડીયા	Zaghadia
મેઘધનુષ	Rainbow
ખાંડવી	Khandvi 
આદિવાસી	Adivasi
વ્યારા	Vyara
ઉમરગામ	Umbergaon
ગુજરાતનાં ગામો	Villages in Gujarat
ભજન	Bhajan
હાંસોટ	Hansot
જોવાલાયક સ્થળો	Tourist attractions
Col-4	Col-4
Col-break	Col-break
ઇડર	Idar
ઋષભ દેવ	Rishabhanatha
બ્રહ્મકુંડ	Brahma Kund
કૃષ્ણ	Krishna
બારડોલી	Bardoli
ચિખલી	Chikhli, Gujarat
જલાલપોર	Jalalpore
સોનગઢ	Songadh
Documentation/docname	Documentation/docname
Documentation	Documentation
Pp-template	Pp-template
Cite book	Cite book
Cite journal	Cite journal
આંતલીયા	Aantaliya
Nowrap	Nowrap
નિષ્કુળાનંદ સ્વામી	Nishkulanand Swami
દેવાનંદ સ્વામી	Devanand Swami
આમોદ	Amod, Gujarat
જંબુસર	Jambusar
પાદરા	Padra
બીલી	Aegle marmelos
કાનજીભાઇ મગનભાઇ પટેલ	Kanjibhai Patel
આરુણિ	Aruni
સત્યના પ્રયોગો અથવા આત્મકથા	The Story of My Experiments with Truth
સરસ્વતીચંદ્ર	Saraswatichandra 
પૃથિવીવલ્લભ	Prithivivallabh
ગુજરાતી સાહિત્ય	Gujarati literature
ગુજરાતના મુખ્યમંત્રીઓ	List of Chief Ministers of Gujarat
હિંદુ ધર્મ	Hinduism
મહર્ષિ દયાનંદ	Dayananda Saraswati
શ્રીમદ્ રાજચંદ્ર	Shrimad Rajchandra
ભોજા ભગત	Bhoja Bhagat
રંગ અવધૂત	Rang Avadhoot
હનુમાન ચાલીસા	Hanuman Chalisa
રામનવમી	Rama Navami
વીર નર્મદ દક્ષિણ ગુજરાત યુનિવર્સિટી, સુરત	Veer Narmad South Gujarat University
ખીજડીયા પક્ષી અભયારણ્ય	Khijadiya Bird Sanctuary
નાસિક	Nashik
વેદ	Vedas
બ્રાહ્મણ ગ્રંથો	Brahmana
આરણ્યક ગ્રંથો	Aranyaka
ઉપનિષદ	Upanishads
અનુક્રમણી	Anukramaṇī
વેદાંગ	Vedanga
ઇતિહાસ	History
સ્મૃતિ	Smriti
હિંદુ દર્શન	Hindu philosophy
ભાષ્ય	Bhashya
સાંપ્રદાયિક ગ્રંથો	Hindu texts
સંસ્કાર	Sanskara 
હિન્દુધર્મના ઉત્સવો	List of Hindu festivals
ઈન્દ્રા નૂયી	Indra Nooyi
સિહોર	Sihor
તળાજા	Talaja
તિરુવનંતપુરમ્	Thiruvananthapuram
શિમલા	Shimla
રાયપુર 	Raipur
રાંચી	Ranchi
FiriBot	FiriBot
દમણ	Daman, Daman and Diu
બગસરા	Bagasara
નેલ્સન મંડેલા	Nelson Mandela
દેહરાદૂન	Dehradun
માંસાહારી	Carnivore
વલ્લભાચાર્ય	Vallabha
અંજીર	Common fig
લીમડો	Azadirachta indica
ઉંદર	Rattus
ડૉ. બાબાસાહેબ આંબેડકર	B. R. Ambedkar
ચેટીચંડ	Cheti Chand
ઝૂલેલાલ	Jhulelal 
વિશ્વકર્મા	Vishvakarman
એકનાથ	Eknath
રંગપંચમી	Rang Panchami
ગુડફ્રાઈડે	Good Friday
પતેતી	Zoroastrian festivals
નવરોઝ	Nowruz
પારસી	Parsi
જરથુષ્ટ્ર	Zoroaster
દાદાભાઈ નવરોજી	Dadabhai Naoroji
મેડમ કામા	Bhikaiji Cama
લવજી વાડિયા	Lovji Nusserwanjee Wadia
રામદેવપીર	Ramdev Pir
રુદ્રાક્ષ	Rudraksha
શિવરાત્રિ	Maha Shivaratri
ગૌમુખ	Gomukh
શ્રીનાથજી	Shrinathji
વસુદેવ	Vasudeva
યશોદા	Yashoda
મોઢેશ્વરી	Modheshwari
સ્વસ્તિક	Swastika
કળશ	Kalasha
રામકૃષ્ણ પરમહંસ	Ramakrishna
ખોડિયાર	Khodiyar
તિલક	Tilaka
બ્રહ્મોસમાજ	Brahmo Samaj
રાજા રામમોહનરાય	Ram Mohan Roy
મોહરમ	Ashura
ચંપારણ્ય	Champaran, Chhattisgarh
પર્વત	Mountain
કંચનજંઘા	Kangchenjunga
ગુરુ ગોવિંદસિંહ	Guru Gobind Singh
શાસ્ત્રીજી મહારાજ	Shastriji Maharaj
કર્ણ	Karna
જ્ઞાનેશ્વર	Dnyaneshwar
તિરુપતિ બાલાજી	Venkateswara Temple, Tirumala
કાલ ભૈરવ	Bhairava
નામદેવ	Namdev
ગુરુનાનક	Guru Nanak
દુલા કાગ	Dula Bhaya Kag
દામોદર બોટાદકર	Damodar Botadkar
ચંદ્રવદન મહેતા	Chandravadan Mehta
સ્નેહરશ્મિ	Jhinabhai Desai
કૃષ્ણલાલ શ્રીધરાણી	Krishnalal Shridharani
રાજેન્દ્ર શાહ	Rajendra Shah
વેણીભાઈ પુરોહિત	Venibhai Purohit
ઉશનસ્	Ushnas
મકરંદ દવે	Makarand Dave
બરકત વિરાણી	Barkat Virani
પ્રિયકાંત મણિયાર	Priyakant Maniar
ન્હાનાલાલ	Nanalal Dalpatram Kavi
ચિનુ મોદી	Chinu Modi
દિનકર જોષી	Dinkar Joshi
મરીઝ	Mareez
પન્નાલાલ પટેલ	Pannalal Patel
કુન્દનિકા કાપડીઆ	Kundanika Kapadia
ભોપાલ	Bhopal
હૈદરાબાદ	Hyderabad
બાંગ્લાદેશ	Bangladesh
દિસપુર	Dispur
ચામાચિડિયું	Bat
બાંધણી	Bandhani
અંકલેશ્વર	Ankleshwar
નાસિક જિલ્લો	Nashik district
સિન્નર તાલુકો	Sinnar taluka
ત્ર્યંબકેશ્વર તાલુકો	Trimbakeshwar tehsil
લીંબડી	Limbdi
ચોટીલા	Chotila
વઢવાણ	Wadhwan
અહમદશાહ	Ahmad Shah I
વૈશાલી જિલ્લો	Vaishali district
શેખપુરા જિલ્લો	Sheikhpura district
શિવહર જિલ્લો	Sheohar district
સુપૌલ જિલ્લો	Supaul district
સીવાન જિલ્લો	Siwan district
સીતામઢી જિલ્લો	Sitamarhi district
